"type","hindi","english","target","category_or_speaker","status","language","notes_for_speaker"
"phrase","कतार में खड़े हो जाओ","Stand in a line","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","हाथ धो लो","Wash your hands","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","पानी पी लो","Drink some water","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","खाना खा लो","Eat your food","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","कल मिलेंगे","See you tomorrow","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","आज हम गिनती सीखेंगे","Today we will learn counting","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","दो और दो कितने होते हैं?","How much are two and two?","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","मुझे समझ नहीं आया","I didn't understand","","student","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","मुझे पानी पीना है","I want to drink water","","student","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","मुझे शौचालय जाना है","I need to go to the toilet","","student","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","मैंने कर लिया","I have finished","","student","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","मुझे मदद चाहिए","I need help","","student","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","मेरी किताब नहीं है","I don't have my book","","student","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","हाँ","Yes","","student","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","नहीं","No","","student","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","मुझे नहीं पता","I don't know","","student","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","मैं बीमार हूँ","I am sick","","student","missing","ho","Please write how this is said in Ho, and record it in the app"
